[1981] Substance use disorders service coverage, availability and quantity of specialized human workforce | pub=WHO | desc: Substance use disorders service coverage, availability and quantity of specialized human workforce | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1982] Total number of surveillance sites reporting to GLASS | pub=WHO | desc: Total number of surveillance sites reporting to GLASS | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1983] Liver cirrhosis, alcohol-attributable, age-standardized death rates, per 100,000 population | pub=WHO | desc: Liver cirrhosis, alcohol-attributable, age-standardized death rates, per 100,000 population | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1984] Vision and eyecare: Effective refractive error coverage (eREC) (%) | pub=WHO | desc: Vision and eyecare: Effective refractive error coverage (eREC) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1985] Existence of evidence-based national guidelines/protocols/standards for the management of physical i | pub=WHO | desc: Existence of evidence-based national guidelines/protocols/standards for the management of physical inactivity | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1986] Hypertension treatment coverage among adults aged 30-79 with hypertension, crude (%) | pub=WHO | desc: Hypertension treatment coverage among adults aged 30-79 with hypertension, crude (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1987] Ban on entities other than tobacco companies/the tobacco industry publicizing the CSR activities of  | pub=WHO | desc: Ban on entities other than tobacco companies/the tobacco industry publicizing the CSR activities of the tobacco companies/industry | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1988] Number of deaths among adolescents (10 to 19 years of age) | pub=WHO | desc: Number of deaths among adolescents (10 to 19 years of age) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1989] Tobacco Raise taxes: National taxes for tobacco and nicotine products | pub=WHO | desc: Tobacco Raise taxes: National taxes for tobacco and nicotine products | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1990] Compliance with ban on sponsorship (contributions and/or publicity of contributions) (score) | pub=WHO | desc: Compliance with ban on sponsorship (contributions and/or publicity of contributions) (score) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1991] Incident cases of trichomoniasis in individuals (in thousands) | pub=WHO | desc: Incident cases of trichomoniasis in individuals (in thousands) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1992] Compliance with ban on advertising on national television and radio (score) | pub=WHO | desc: Compliance with ban on advertising on national television and radio (score) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1993] Foodborne disability-adjusted life years per case, aged less than 5 years | pub=WHO | desc: Foodborne disability-adjusted life years per case, aged less than 5 years | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1994] Total use of antibacterials expressed as DDD per 1000 inhabitants per day | pub=WHO | desc: Total use of antibacterials expressed as DDD per 1000 inhabitants per day | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1995] General availability of radiotherapy in the public sector | pub=WHO | desc: General availability of radiotherapy in the public sector | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1996] Estimate of daily tobacco smoking prevalence (%) (age-standardized) | pub=WHO | desc: Estimate of daily tobacco smoking prevalence (%) (age-standardized) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1997] NLIS: Early initiation of breastfeeding within 1 hour of birth (%) | pub=WHO | desc: NLIS: Early initiation of breastfeeding within 1 hour of birth (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1998] NLIS: Continued breastfeeding at 2 years in infants 20-23 months (%) | pub=WHO | desc: NLIS: Continued breastfeeding at 2 years in infants 20-23 months (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[1999] Tobacco MPOWER overview: Monitor, Protect people, Offer help, Warn of dangers, Enforce bans, Raise t | pub=WHO | desc: Tobacco MPOWER overview: Monitor, Protect people, Offer help, Warn of dangers, Enforce bans, Raise taxes | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
