[885] Domestic private health expenditure (PVT-D) per capita in US$ | pub=WHO | desc: Domestic private health expenditure (PVT-D) per capita in US$ | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[886] Tax administration: Tax stamps applied on tobacco products | pub=WHO | desc: Tax administration: Tax stamps applied on tobacco products | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[887] Out-of-pocket expenditure as percentage of current health expenditure (CHE) (%) | pub=WHO | desc: Out-of-pocket expenditure as percentage of current health expenditure (CHE) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[888] Tax structure: Retail price used as base of ad valorem component in ad valorem or mixed excise regim | pub=WHO | desc: Tax structure: Retail price used as base of ad valorem component in ad valorem or mixed excise regime (or retail price exclusive of VAT) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[889] Average - taxes as a % of cigarette price - other taxes | pub=WHO | desc: Average - taxes as a % of cigarette price - other taxes | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[890] Hospital discharges, alcoholic liver disease, per 100,000 | pub=WHO | desc: Hospital discharges, alcoholic liver disease, per 100,000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[891] Treatment admissions (inpatient), alcohol dependence, per 100,000 | pub=WHO | desc: Treatment admissions (inpatient), alcohol dependence, per 100,000 | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[892] Alcoholic excise tax revenue as a per cent of government revenue | pub=WHO | desc: Alcoholic excise tax revenue as a per cent of government revenue | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[893] Alcoholic excise tax revenue as a per cent of government revenue | pub=WHO | desc: Alcoholic excise tax revenue as a per cent of government revenue | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[894] Annual revenues from alcohol excise tax in millions US$ | pub=WHO | desc: Annual revenues from alcohol excise tax in millions US$ | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[895] Postnatal care visit within two days of birth (in the x years preceding the survey) (%) | pub=WHO | desc: Postnatal care visit within two days of birth (in the x years preceding the survey) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[896] Postnatal care visit within two days of birth - born outside a health facility (in the five years pr | pub=WHO | desc: Postnatal care visit within two days of birth - born outside a health facility (in the five years preceding the survey) (%) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[897] Average - taxes as a % of cigarette price - ad valorem excise | pub=WHO | desc: Average - taxes as a % of cigarette price - ad valorem excise | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[898] Tax administration: If duty free imports are limited, duty free allowance (number of cigarette stick | pub=WHO | desc: Tax administration: If duty free imports are limited, duty free allowance (number of cigarette sticks) | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
[899] National  health information system (HIS) policy or strategy | pub=WHO | desc: National  health information system (HIS) policy or strategy | cols: SpatialDim, TimeDim, NumericValue, Dim1, Dim2, Dim3 | tags: EN
